Hybrid Search,,,,,,,
,Precision5,Precision10,Precision20,Recall5,Recall10,Recall20,MAP
Query 1,0.8,0.8,0.85,0.018604651,0.037209302,0.079069767,0.06521
Query 2,1,0.8,0.9,0.023255814,0.037209302,0.08372093,0.0757
Query 3,1,0.6,0.3,0.454545455,0.545454545,0.545454545,0.5455
Query 4b,0.2,0.1,0.05,0.090909091,0.090909091,0.090909091,0.0909
Query 5,0,0,0,0,0,0,0
Query 6,0.4,0.7,0.75,0.025,0.0875,0.1875,0.1259
Query 7,0.4,0.5,0.3,0.060606061,0.151515152,0.181818182,0.0896
Query 8,0.4,0.3,0.2,0.04,0.06,0.08,0.0532
Query 9,0.2,0.1,0.1,0.004464286,0.004464286,0.008928571,0.005
Query 10b,0,0,0,0,0,0,0
Query 11,0.8,0.6,0.7,0.017857143,0.026785714,0.0625,0.0466
Query 12,0,0,0,0,0,0,0
Query 13,0.8,0.9,0.7,0.010050251,0.022613065,0.035175879,0.0302
Query 14,0.2,0.1,0.05,0.016393443,0.016393443,0.016393443,0.0033
Query 15,0.4,0.2,0.15,0.05,0.05,0.075,0.0233
Query 16,0,0,0,0,0,0,0
Query 17,1,1,0.65,0.016949153,0.033898305,0.044067797,0.0438
Query 18,0.6,0.6,0.45,0.034883721,0.069767442,0.104651163,0.069
Query 19,0.6,0.3,0.15,1,1,1,1
Query 20,0,0,0,0,0,0,0
Ave,0.44,0.38,0.315,0.093175953,0.111685982,0.129759468,0.1133605
,,,,,,,
Keyword Search (BM25),,,,,,,
,Precision5,Precision10,Precision20,Recall5,Recall10,Recall20,MAP
Query 1,1,1,0.85,0.023255814,0.046511628,0.079069767,0.0735
Query 2,0,0,0,0,0,0,0
Query 3,1,0.7,0.35,0.454545455,0.636363636,0.35,0.6364
Query 4b,0,0,0,0,0,0,0
Query 5,0,0,0,0,0,0,0
Query 6,0,0,0,0,0,0,0
Query 7,0.2,0.5,0.3,0.060606061,0.151515152,0.181818182,0.0577
Query 8,1,1,0.9,0.1,0.2,0.36,0.3569
Query 9,0,0,0,0,0,0,0
Query 10b,0,0,0,0,0,0,0
Query 11,0.8,0.8,0.8,0.017857143,0.035714286,0.071428571,0.05
Query 12,0,0,0,0,0,0,0
Query 13,1,1,1,0.012562814,0.025125628,0.050251256,0.050251256
Query 14,0.2,0.1,0.05,0.016393443,0.016393443,0.016393443,0.0164
Query 15,0,0,0,0,0,0,0
Query 16,0,0,0,0,0,0,0
Query 17,0.2,0.1,0.05,0.003389831,0.003389831,0.003389831,0.0008
Query 18,0,0,0,0,0,0,0
Query 19,0.6,0.3,0.15,1,1,1,1
Query 20,0.2,0.2,0.1,0.2,0.4,0.4,0.24
Ave,0.31,0.285,0.2275,0.094430528,0.12575068,0.125617553,0.124097563
